GeneName,sampleA,sampleB,sampleC,sampleD,sampleE,sampleF,sampleG,sampleH
A630034I12Rik,7.632239495,8.232005321,7.987181301,8.172055765,8.129551583,7.891940786,7.996210274,8.057062369
Kat6b,6.111268348,6.229767199,6.141933079,6.088197467,6.107644928,6.251613944,6.056441961,6.145632533
Hypm,7.595843789,7.394969942,7.32483031,7.686024159,7.174571556,7.693701162,7.637655574,6.42767461
A_55_P2148744,13.89364125,13.61123963,14.1549103,13.47667662,13.35461906,14.15780883,13.92026779,14.43198803
Prima1,6.105577915,6.01901536,6.074886538,6.194815302,5.994726941,6.123867707,5.973927794,6.125202861
4930573O21Rik,6.097406148,6.050446209,6.193379661,6.130626697,6.144257052,6.112574785,6.263765809,6.208990375
Evx2,7.058605773,7.020085936,7.216042991,7.17335375,6.956763606,6.896442414,6.996763592,6.991931314
AK139740,6.27252972,6.623420007,6.595955448,6.638118661,6.638526501,6.475308994,6.645221051,6.704177512
C430002N11Rik,8.847318275,9.411459496,9.98463646,9.859038283,10.28588244,10.03794753,8.428657596,8.4277917
Cables1,8.010437393,7.08054265,6.357585897,6.836158827,7.025216577,6.554958402,8.393441235,8.26455958
Gm14827,6.271603636,6.472221382,6.483913741,6.412425884,6.478373442,6.392709637,6.380290733,6.28679715
Rtn4,11.82386523,11.99396298,11.78308022,11.52687097,12.04154362,11.8343759,11.51543499,11.15639416
Coq9,10.00636967,10.02575999,10.08246463,10.10021107,10.20678596,10.06958554,10.25171973,9.865628037
Fahd2a,9.624275043,9.611837353,10.1500942,10.6490467,10.22639415,10.15251951,10.17028294,10.29844111
3930401B19Rik,14.86835736,15.34895792,14.85488535,15.97097237,15.64459756,15.25647215,15.36170133,15.19097816
Zfp217,11.19600793,11.57832193,11.00545192,11.46343466,11.60625255,10.94100426,11.38548246,12.10082966
Gm36086,6.008571369,6.304665585,6.126837285,6.409478613,6.312183739,6.479035009,6.256691755,6.328446934
1700016D06Rik,5.827681594,5.945434759,6.114092427,5.921001604,6.142619018,6.179269817,5.997109183,6.211390291
A_55_P2536354,6.7029446,6.53109393,7.251825727,6.873739698,6.876120385,7.329268376,7.061481038,7.300429772
AK033053,5.976135092,5.70158552,5.817044459,5.895951788,6.081577103,5.673507339,5.927687341,5.886515282
Alyref2,11.10569705,10.52808632,11.79145615,11.13412038,11.13614383,11.80007002,11.45536183,11.51652971
DV045877,8.011411066,8.03946759,7.912474078,7.703899548,7.615530668,7.639984163,7.940076004,8.477304174
Gm10463,7.319957763,7.052826926,7.44138678,7.330228178,7.342696874,7.334192235,7.509027529,7.743687734
C030034I22Rik,9.265725751,10.04851658,8.940629474,10.13043979,9.57668437,8.754856972,9.197751947,9.675169585
Camta1,6.259605369,6.23818099,6.284905614,6.246765337,6.162152784,6.192486143,6.161599709,6.114410905
Upf3b,10.90558565,10.24700127,11.21345665,10.92299368,10.81411374,11.06878636,11.10769994,10.88329636
Prkar1b,6.19190323,6.440629637,6.119054122,6.068964225,6.301678967,6.179041236,6.154138351,6.456888285
1500009C09Rik,6.541315317,6.620648131,6.464230356,6.519020059,6.482310444,6.558377323,6.441612782,6.388939248
AK144984,6.140589944,6.130548129,6.031063084,6.304634277,6.07366124,6.191314448,6.310047758,7.018157427
Slc43a1,7.112424338,7.063614676,7.164671273,7.063873778,7.005503424,7.065955153,7.056893374,7.111844622
