Coaster	State	Type	Design	Speed	Height	Length
Afterburner	Indiana	Steel	Sit Down	45	56	635
Alpengeist	Virginia	Steel	Inverted	67	195	3828
American Eagle	Illinois	Wooden	Sit Down	66	127	4650
Anaconda	Virginia	Steel	Sit Down	50	128	2700
Apollos Chariot	Virginia	Steel	Sit Down	73	170	4882
Arkansas Twister	Arkansas	Wooden	Sit Down	71	95	3340
Batman And Robin; The Chiller	New Jersey	Steel	Sit Down	70	200	1137
Batman And Robin; The Chiller	New Jersey	Steel	Sit Down	70	200	1229
Batman Knight Flight	Ohio	Steel	Sit Down	65	157	4210
Batman The Escape	Texas	Steel	Stand Up	55	90	2300
Batman: The Ride	Louisiana	Steel	Inverted	50	105	2693
Beast	Ohio	Wooden	Sit Down	65	110	7400
Big Bad John	Arkansas	Steel	Sit Down	37	32	2349
Blue Streak	Ohio	Wooden	Sit Down	40	78	2558
Boss	Missouri	Wooden	Sit Down	66	122	5051
Cannon Ball	Georgia	Wooden	Sit Down	50	70	2272
Canyon Blaster	Nevada	Steel	Sit Down	41	94	2423
Chang	Kentucky	Steel	Stand Up	63	154	4155
Cheetah	Georgia	Wooden	Sit Down	52	92	2680
Coaster Thrill Ride	Washington	Wooden	Sit Down	50	55	2650
Colossus	California	Wooden	Sit Down	62	125	4325
Comet	New York	Wooden	Sit Down	55	95	4197
Comet	Pennsylvania	Wooden	Sit Down	50	84	3360
Comet	Pennsylvania	Wooden	Sit Down	25	37	1300
Corkscrew	Idaho	Steel	Sit Down	46	70	1250
Cyclops	Wisconsin	Wooden	Sit Down	58	70	1900
Déjà Vu	Illinois	Steel	Inverted	66	192	1204
Déjà Vu	Georgia	Steel	Inverted	66	192	1204
Demon	Illinois	Steel	Sit Down	50	102	2130
Demon	California	Steel	Sit Down	50	102	2130
Desperado	Nevada	Steel	Sit Down	80	209	5843
Diamond Back	Oklahoma	Steel	Sit Down	45	56	635
Dueling Dragons	Florida	Steel	Inverted	60	125	3200
Dueling Dragons	Florida	Steel	Inverted	55	125	3200
Excalibur	Minnesota	Steel	Sit Down	55	100	2415
Excalibur	Maine	Wooden	Sit Down	55	100	2700
Face/Off	Ohio	Steel	Inverted	50	161	1014
Gemini	Ohio	Steel	Sit Down	60	125	3935
Georgia Cyclone	Georgia	Wooden	Sit Down	50	95	2970
Georgia Scorcher	Georgia	Steel	Stand Up	54	107	3000
GhostRider	California	Wooden	Sit Down	56	118	4533
Giant Dipper	California	Wooden	Sit Down	55	70	2640
Goliath	California	Steel	Sit Down	85	235	4500
Great American Scream Machine	New Jersey	Steel	Sit Down	68	173	3800
Great American Scream Machine	Georgia	Wooden	Sit Down	57	105	3450
Great Bear	Pennsylvania	Steel	Inverted	58	90	2800
Great NorEaster	New Jersey	Steel	Inverted	55	115	2170
Great White	New Jersey	Wooden	Sit Down	50	110	3300
Great White	Texas	Steel	Inverted	50	108	2562
Hurricane	South Carolina	Wooden	Sit Down	55	102	3800
HyperSonic XLC	Virginia	Steel	Sit Down	80	165	1560
Incredible Hulk	Florida	Steel	Sit Down	67	110	3700
Invertigo	California	Steel	Inverted	50	161	1014
Iron Wolf	Illinois	Steel	Stand Up	55	100	2900
Jack Rabbit	Pennsylvania	Wooden	Sit Down	45	40	2132
Jaguar!	California	Steel	Sit Down	35	65	2602
Judge Roy Scream	Texas	Wooden	Sit Down	53	71	2670
Kraken	Florida	Steel	Sit Down	65	149	4177
Kumba	Florida	Steel	Sit Down	60	143	3978
Loch Ness Monster	Virginia	Steel	Sit Down	60	130	3240
Magnum XL-200	Ohio	Steel	Sit Down	72	205	5106
Mamba	Missouri	Steel	Sit Down	75	205	5600
Manhattan Express	Nevada	Steel	Sit Down	67	203	4777
Mantis	Ohio	Steel	Stand Up	60	145	3900
Mean Streak	Ohio	Wooden	Sit Down	65	161	5427
Medusa	California	Steel	Sit Down	65	150	3937
Medusa	New Jersey	Steel	Sit Down	61	142	3985
